years,0 - 4,05-Sep,Oct-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,100+
1950,27834.4,22193.9,20293.8,18850.9,16775.8,14565.8,12649.7,11044.3,9550.3,8033.9,6471.5,5526.3,4187.5,2187,1770.1,913.6,456.8,,,,
1955,32217.9,24923.1,21677.8,19930.3,18342.7,16212.7,14055.7,12144.8,10512.3,8975.3,7421.8,5799.3,4718,3306.1,1523.5,1004,476,,,,
1960,36912.8,29512.4,24463.9,21366.1,19497.7,17840.1,15738.8,13576.2,11638.4,9955.5,8364.1,6723.1,5024.5,3803.6,2370.5,900.4,537.2,,,,
1965,40744.3,34174.6,28967,24064.4,20838.2,18916.7,17287.1,15200.4,13024.2,11048.3,9299.8,7614.8,5867.3,4097.8,2773.1,1432.7,535.7,,,,
1970,44699.6,38139.7,33629.4,28551.1,23542.9,20293.4,18397.1,16757.4,14641.7,12419.3,10372.7,8517.9,6699.6,4840.6,3036.4,1713.8,753.2,,,,
1975,48460.8,42263.2,37621.1,33209.2,28013.9,23008.1,19803.6,17896.1,16204.3,14022.3,11717,9556.7,7553.8,5589.7,3644.1,1917.7,969.502,,,,
1980,49857.3,46172.9,41766.6,37206.8,32659,27453.1,22513.8,19318.1,17359.1,15572.8,13281.7,10847.2,8530.1,6360.6,4262.9,2342.5,1160.702,,,,
1985,55890.157,47656.756,45563.786,41379.133,36760.095,32196.626,27007.061,22056.201,18787.322,16671.357,14640.168,12112.382,9400.545,6884.883,4677.534,2752.583,1582.397,,,,
1990,59648.782,53759.963,47120.098,45191.086,40933.342,36284.928,31722.365,26516.358,21515.38,18119.431,15763.109,13451.808,10605.34,7693.197,5151.39,3085.94,2010.656,,,,
1995,61900.268,57700.819,53197.687,46734.78,44684.545,40349.425,35699.419,31130.703,25886.287,20798.062,17200.629,14568.468,11880.63,8784.713,5848.036,3466.793,1632.217,603.627,158.592,26.323,3.377
2000,62017.193,60192.208,57184.693,52823.995,46239.161,43997.877,39613.247,34972.38,30376.693,25056.705,19811.516,15984.233,12971.09,9952.848,6777.995,4012.384,2034.212,780.045,222.159,42.279,5.052
2005,61560.966,60576.307,59729.306,56839.029,52336.966,45499.307,43061.734,38670.92,34044.852,29392.987,23920.661,18499.393,14344.705,10989.83,7794.842,4742.314,2414.995,997.33,293.57,59.905,7.954
