years,0 - 4,05-Sep,Oct-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 - 99,100+
1950,55002.5,44000.8,40152.3,36848.4,32429.7,27990.2,24208,21006.7,17969.3,14986.8,12560,10307.9,8127.1,5338.7,3775.7,1934.3,922.4,,,,
1955,62561.6,48768.7,42824,39341.3,35832.3,31297.6,26919.2,23172.6,19984,16945.8,13924.7,11353.5,8872.8,6451.4,3723.4,2133.7,989.201,,,,
1960,71484.7,56729.1,47710,42113.7,38447.5,34783.5,30279.5,25928.6,22191.6,18980.8,15874.4,12715,9923.9,7200.2,4643.6,2203.3,1134.699,,,,
1965,78964.3,65608.2,55528.1,46820,41005.1,37246.2,33637.1,29199.6,24880.5,21136.8,17837.3,14574.1,11201,8163.1,5282.1,2821.8,1251.203,,,,
1970,86620.7,73333,64408.6,54622.6,45739.6,39878,36157.4,32564.1,28134,23798.5,19957.6,16473.5,12946.5,9323.2,6095.8,3287.6,1570.2,,,,
1975,93693.2,81206,72162.9,63479.5,53508.7,44625.1,38835.9,35117.9,31484.1,27009.4,22563.3,18525.8,14739.9,10890.2,7064.7,3874.4,1919.801,,,,
1980,96705.2,88726.3,80119,71272.7,62367.4,52385.4,43612.3,37855.4,34081,30344.9,25721.1,21061.3,16708.9,12546.8,8393.5,4595.6,2359.399,,,,
1985,108687.634,91847.668,87459.619,79287.943,70281.214,61369.375,51458.498,42731.925,36892.355,32893.466,28765.511,23751.367,18550.163,13777.149,9487.109,5596.926,3215.063,,,,
1990,116015.906,103942.807,90742.606,86678.001,78330.698,69293.941,60417.928,50547.262,41769.732,35742.813,31343.992,26745.775,21124.709,15498.95,10588.976,6459.576,4170.912,,,,
1995,120507.789,111734.705,102820.193,89968,85654.302,77216.609,68223.51,59390.661,49484.37,40572.192,34198.313,29316.837,24001.544,17870.14,12102.577,7356.074,3487.05,1275.292,328.584,56.629,6.674
2000,120837.194,116832.3,110729.954,102090.211,89019.987,84460.336,75999.679,67058.27,58186.796,48160.04,38960.894,32162.403,26532.085,20547.776,14168.769,8576.223,4465.244,1716.06,480.32,88.882,10.82
2005,120011.498,117787.65,115950.451,110071.806,101182.335,87787.3,82998.853,74571.676,65645.994,56669.361,46368.167,36816.389,29340.936,22979.035,16542.243,10243.264,5340.46,2253.835,661.134,131.54,16.875
