Id;Interarrival Time;Arrival Time;Service Time;Time Service Begins;Waiting time in Queue;Time Service Ends;Time Customer Spends in System;Idle time of Server
0;0;0.0;2;0.0;0.0;2.0;2.0;0.0
1;4.0;4.0;4;4.0;0.0;8.0;4.0;2.0
2;5.0;9.0;5;9.0;0.0;14.0;5.0;1.0
3;8.0;17.0;4;17.0;0.0;21.0;4.0;3.0
4;5.0;22.0;5;22.0;0.0;27.0;5.0;1.0
5;8.0;30.0;5;30.0;0.0;35.0;5.0;3.0
6;7.0;37.0;3;37.0;0.0;40.0;3.0;2.0
7;5.0;42.0;4;42.0;0.0;46.0;4.0;2.0
8;6.0;48.0;3;48.0;0.0;51.0;3.0;2.0
9;4.0;52.0;2;52.0;0.0;54.0;2.0;1.0
10;7.0;59.0;5;59.0;0.0;64.0;5.0;5.0
11;8.0;67.0;2;67.0;0.0;69.0;2.0;3.0
12;1.0;68.0;5;69.0;1.0;74.0;6.0;0.0
13;1.0;69.0;2;74.0;5.0;76.0;7.0;0.0
14;6.0;75.0;3;76.0;1.0;79.0;4.0;0.0
15;3.0;78.0;4;79.0;1.0;83.0;5.0;0.0
16;5.0;83.0;4;83.0;0.0;87.0;4.0;0.0
17;1.0;84.0;4;87.0;3.0;91.0;7.0;0.0
18;4.0;88.0;4;91.0;3.0;95.0;7.0;0.0
19;3.0;91.0;4;95.0;4.0;99.0;8.0;0.0
20;5.0;96.0;2;99.0;3.0;101.0;5.0;0.0
21;2.0;98.0;3;101.0;3.0;104.0;6.0;0.0
22;3.0;101.0;2;104.0;3.0;106.0;5.0;0.0
23;7.0;108.0;4;108.0;0.0;112.0;4.0;2.0
24;1.0;109.0;3;112.0;3.0;115.0;6.0;0.0
25;4.0;113.0;5;115.0;2.0;120.0;7.0;0.0
26;3.0;116.0;3;120.0;4.0;123.0;7.0;0.0
27;8.0;124.0;4;124.0;0.0;128.0;4.0;1.0
28;6.0;130.0;1;130.0;0.0;131.0;1.0;2.0
29;3.0;133.0;4;133.0;0.0;137.0;4.0;2.0
30;4.0;137.0;3;137.0;0.0;140.0;3.0;0.0
31;1.0;138.0;5;140.0;2.0;145.0;7.0;0.0
32;3.0;141.0;3;145.0;4.0;148.0;7.0;0.0
