Id;Interarrival Time;Arrival Time;Service Time;Time Service Begins;Waiting time in Queue;Time Service Ends;Time Customer Spends in System;Idle time of Server
0;0;0.0;6;0.0;0.0;6.0;6.0;0.0
1;3.0;3.0;8;3.0;0.0;11.0;8.0;-3.0
2;3.0;6.0;8;6.0;0.0;14.0;8.0;-7.0
3;1.0;7.0;8;7.0;0.0;15.0;8.0;-7.0
4;2.0;9.0;2;9.0;0.0;11.0;2.0;-2.0
5;1.0;10.0;2;10.0;0.0;12.0;2.0;-1.0
6;0.0;10.0;2;11.0;1.0;13.0;3.0;-1.0
7;0.0;10.0;7;11.0;1.0;18.0;8.0;-6.0
8;0.0;10.0;3;12.0;2.0;15.0;5.0;-3.0
9;3.0;13.0;2;13.0;0.0;15.0;2.0;-2.0
10;2.0;15.0;2;15.0;0.0;17.0;2.0;0.0
11;0.0;15.0;3;15.0;0.0;18.0;3.0;-3.0
12;2.0;17.0;4;17.0;0.0;21.0;4.0;-1.0
13;2.0;19.0;8;19.0;0.0;27.0;8.0;-5.0
14;2.0;21.0;6;21.0;0.0;27.0;6.0;-6.0
15;2.0;23.0;1;23.0;0.0;24.0;1.0;2.0
16;2.0;25.0;2;25.0;0.0;27.0;2.0;-2.0
17;1.0;26.0;3;26.0;0.0;29.0;3.0;-2.0
18;0.0;26.0;2;26.0;0.0;28.0;2.0;-1.0
19;3.0;29.0;8;29.0;0.0;37.0;8.0;-7.0
20;1.0;30.0;4;30.0;0.0;34.0;4.0;1.0
21;2.0;32.0;8;32.0;0.0;40.0;8.0;-6.0
22;0.0;32.0;8;32.0;0.0;40.0;8.0;-8.0
23;0.0;32.0;2;32.0;0.0;34.0;2.0;-2.0
24;1.0;33.0;4;34.0;1.0;38.0;5.0;-3.0
25;0.0;33.0;2;34.0;1.0;36.0;3.0;0.0
26;1.0;34.0;4;36.0;2.0;40.0;6.0;-4.0
27;3.0;37.0;4;37.0;0.0;41.0;4.0;-3.0
28;0.0;37.0;6;38.0;1.0;44.0;7.0;-3.0
29;3.0;40.0;4;40.0;0.0;44.0;4.0;-4.0
30;3.0;43.0;4;43.0;0.0;47.0;4.0;-1.0
31;3.0;46.0;6;46.0;0.0;52.0;6.0;-1.0
32;3.0;49.0;4;49.0;0.0;53.0;4.0;-3.0
33;2.0;51.0;6;51.0;0.0;57.0;6.0;-2.0
34;3.0;54.0;6;54.0;0.0;60.0;6.0;-5.0
35;2.0;56.0;3;56.0;0.0;59.0;3.0;-1.0
36;2.0;58.0;8;58.0;0.0;66.0;8.0;-6.0
37;3.0;61.0;3;61.0;0.0;64.0;3.0;1.0
38;0.0;61.0;6;61.0;0.0;67.0;6.0;-5.0
39;1.0;62.0;2;62.0;0.0;64.0;2.0;-2.0
40;0.0;62.0;4;62.0;0.0;66.0;4.0;-4.0
41;3.0;65.0;7;65.0;0.0;72.0;7.0;-5.0
42;1.0;66.0;6;66.0;0.0;72.0;6.0;-6.0
43;3.0;69.0;1;69.0;0.0;70.0;1.0;2.0
44;2.0;71.0;4;71.0;0.0;75.0;4.0;-1.0
45;3.0;74.0;5;74.0;0.0;79.0;5.0;-1.0
46;1.0;75.0;4;75.0;0.0;79.0;4.0;-4.0
47;3.0;78.0;3;78.0;0.0;81.0;3.0;-1.0
48;3.0;81.0;6;81.0;0.0;87.0;6.0;0.0
49;2.0;83.0;4;83.0;0.0;87.0;4.0;-4.0
50;0.0;83.0;5;83.0;0.0;88.0;5.0;-4.0
51;2.0;85.0;4;85.0;0.0;89.0;4.0;-3.0
52;3.0;88.0;3;88.0;0.0;91.0;3.0;-1.0
53;2.0;90.0;2;90.0;0.0;92.0;2.0;-1.0
54;3.0;93.0;2;93.0;0.0;95.0;2.0;1.0
55;1.0;94.0;6;94.0;0.0;100.0;6.0;-5.0
56;3.0;97.0;2;97.0;0.0;99.0;2.0;2.0
57;1.0;98.0;4;98.0;0.0;102.0;4.0;-2.0
58;1.0;99.0;5;99.0;0.0;104.0;5.0;-3.0
59;1.0;100.0;2;100.0;0.0;102.0;2.0;-2.0
60;2.0;102.0;7;102.0;0.0;109.0;7.0;-4.0
61;0.0;102.0;8;102.0;0.0;110.0;8.0;-7.0
62;3.0;105.0;1;105.0;0.0;106.0;1.0;1.0
63;0.0;105.0;7;105.0;0.0;112.0;7.0;-5.0
64;3.0;108.0;6;108.0;0.0;114.0;6.0;-5.0
65;2.0;110.0;3;110.0;0.0;113.0;3.0;-2.0
66;3.0;113.0;4;113.0;0.0;117.0;4.0;-1.0
67;1.0;114.0;3;114.0;0.0;117.0;3.0;-3.0
68;3.0;117.0;7;117.0;0.0;124.0;7.0;-3.0
69;0.0;117.0;3;117.0;0.0;120.0;3.0;0.0
70;2.0;119.0;7;119.0;0.0;126.0;7.0;-6.0
71;2.0;121.0;5;121.0;0.0;126.0;5.0;-5.0
72;1.0;122.0;7;122.0;0.0;129.0;7.0;-6.0
73;1.0;123.0;2;123.0;0.0;125.0;2.0;-1.0
74;0.0;123.0;3;124.0;1.0;127.0;4.0;-2.0
75;2.0;125.0;3;125.0;0.0;128.0;3.0;-2.0
76;2.0;127.0;3;127.0;0.0;130.0;3.0;-2.0
77;3.0;130.0;4;130.0;0.0;134.0;4.0;-2.0
78;0.0;130.0;2;130.0;0.0;132.0;2.0;0.0
79;2.0;132.0;8;132.0;0.0;140.0;8.0;-6.0
80;1.0;133.0;2;133.0;0.0;135.0;2.0;-1.0
81;0.0;133.0;2;133.0;0.0;135.0;2.0;-2.0
82;0.0;133.0;1;133.0;0.0;134.0;1.0;-1.0
83;0.0;133.0;4;134.0;1.0;138.0;5.0;-1.0
84;2.0;135.0;8;135.0;0.0;143.0;8.0;-6.0
85;2.0;137.0;3;137.0;0.0;140.0;3.0;-3.0
86;0.0;137.0;4;137.0;0.0;141.0;4.0;-3.0
87;1.0;138.0;8;138.0;0.0;146.0;8.0;-5.0
88;1.0;139.0;6;140.0;1.0;146.0;7.0;-6.0
89;3.0;142.0;7;142.0;0.0;149.0;7.0;-6.0
90;1.0;143.0;4;143.0;0.0;147.0;4.0;-3.0
91;1.0;144.0;6;144.0;0.0;150.0;6.0;-5.0
92;1.0;145.0;2;146.0;1.0;148.0;3.0;-1.0
93;1.0;146.0;6;146.0;0.0;152.0;6.0;-4.0
94;3.0;149.0;6;149.0;0.0;155.0;6.0;-3.0
95;1.0;150.0;7;150.0;0.0;157.0;7.0;-6.0
96;2.0;152.0;4;152.0;0.0;156.0;4.0;-3.0
97;1.0;153.0;4;153.0;0.0;157.0;4.0;-4.0
98;3.0;156.0;2;156.0;0.0;158.0;2.0;-1.0
99;1.0;157.0;4;157.0;0.0;161.0;4.0;-3.0
100;2.0;159.0;1;159.0;0.0;160.0;1.0;1.0
101;3.0;162.0;8;162.0;0.0;170.0;8.0;-7.0
102;0.0;162.0;6;162.0;0.0;168.0;6.0;1.0
103;3.0;165.0;6;165.0;0.0;171.0;6.0;-5.0
104;0.0;165.0;4;165.0;0.0;169.0;4.0;-3.0
105;1.0;166.0;3;166.0;0.0;169.0;3.0;-3.0
106;0.0;166.0;2;168.0;2.0;170.0;4.0;-2.0
107;2.0;168.0;6;169.0;1.0;175.0;7.0;-2.0
108;2.0;170.0;7;170.0;0.0;177.0;7.0;-6.0
109;2.0;172.0;5;172.0;0.0;177.0;5.0;-5.0
110;0.0;172.0;4;172.0;0.0;176.0;4.0;-3.0
111;3.0;175.0;8;175.0;0.0;183.0;8.0;-6.0
112;0.0;175.0;2;175.0;0.0;177.0;2.0;-2.0
113;0.0;175.0;8;176.0;1.0;184.0;9.0;-7.0
114;0.0;175.0;4;177.0;2.0;181.0;6.0;0.0
115;3.0;178.0;7;178.0;0.0;185.0;7.0;-6.0
116;0.0;178.0;3;178.0;0.0;181.0;3.0;-3.0
117;0.0;178.0;6;181.0;3.0;187.0;9.0;-4.0
118;1.0;179.0;8;181.0;2.0;189.0;10.0;-7.0
119;1.0;180.0;2;183.0;3.0;185.0;5.0;-2.0
120;3.0;183.0;4;184.0;1.0;188.0;5.0;-3.0
121;1.0;184.0;6;185.0;1.0;191.0;7.0;-5.0
122;2.0;186.0;4;186.0;0.0;190.0;4.0;-3.0
123;1.0;187.0;6;187.0;0.0;193.0;6.0;-5.0
124;1.0;188.0;4;188.0;0.0;192.0;4.0;-3.0
125;3.0;191.0;8;191.0;0.0;199.0;8.0;-7.0
126;1.0;192.0;6;192.0;0.0;198.0;6.0;-3.0
127;1.0;193.0;2;193.0;0.0;195.0;2.0;0.0
128;3.0;196.0;2;196.0;0.0;198.0;2.0;-2.0
129;3.0;199.0;4;199.0;0.0;203.0;4.0;0.0
130;2.0;201.0;2;201.0;0.0;203.0;2.0;-2.0
131;2.0;203.0;7;203.0;0.0;210.0;7.0;-5.0
132;1.0;204.0;4;204.0;0.0;208.0;4.0;1.0
133;1.0;205.0;6;205.0;0.0;211.0;6.0;-5.0
134;3.0;208.0;2;208.0;0.0;210.0;2.0;-2.0
135;1.0;209.0;2;209.0;0.0;211.0;2.0;-2.0
136;0.0;209.0;3;209.0;0.0;212.0;3.0;-2.0
137;2.0;211.0;2;211.0;0.0;213.0;2.0;-1.0
138;3.0;214.0;3;214.0;0.0;217.0;3.0;1.0
139;3.0;217.0;5;217.0;0.0;222.0;5.0;-4.0
140;1.0;218.0;3;218.0;0.0;221.0;3.0;1.0
141;1.0;219.0;2;219.0;0.0;221.0;2.0;-2.0
142;2.0;221.0;2;221.0;0.0;223.0;2.0;-1.0
143;0.0;221.0;6;221.0;0.0;227.0;6.0;-2.0
