Id;Interarrival Time;Arrival Time;Service Time;Time Service Begins;Waiting time in Queue;Time Service Ends;Time Customer Spends in System;Idle time of Server
0;0;0.0;6;0.0;0.0;6.0;6.0;0.0
1;3.0;3.0;8;3.0;0.0;11.0;8.0;-3.0
2;3.0;6.0;8;6.0;0.0;14.0;8.0;-7.0
3;1.0;7.0;8;7.0;0.0;15.0;8.0;-7.0
4;2.0;9.0;2;9.0;0.0;11.0;2.0;-2.0
5;1.0;10.0;2;10.0;0.0;12.0;2.0;-1.0
6;0.0;10.0;4;14.0;4.0;18.0;8.0;-3.0
7;0.0;10.0;2;11.0;1.0;13.0;3.0;-1.0
8;0.0;10.0;6;15.0;5.0;21.0;11.0;-3.0
9;3.0;13.0;4;13.0;0.0;17.0;4.0;-2.0
10;2.0;15.0;2;15.0;0.0;17.0;2.0;-2.0
11;3.0;18.0;6;18.0;0.0;24.0;6.0;-4.0
12;0.0;18.0;4;18.0;0.0;22.0;4.0;-3.0
13;2.0;20.0;8;20.0;0.0;28.0;8.0;-6.0
14;3.0;23.0;7;23.0;0.0;30.0;7.0;-6.0
15;2.0;25.0;1;25.0;0.0;26.0;1.0;1.0
16;2.0;27.0;2;27.0;0.0;29.0;2.0;-1.0
17;1.0;28.0;2;28.0;0.0;30.0;2.0;-2.0
18;3.0;31.0;4;31.0;0.0;35.0;4.0;-3.0
19;0.0;31.0;3;31.0;0.0;34.0;3.0;1.0
20;2.0;33.0;8;33.0;0.0;41.0;8.0;-5.0
21;1.0;34.0;8;34.0;0.0;42.0;8.0;-7.0
22;0.0;34.0;8;34.0;0.0;42.0;8.0;-8.0
23;0.0;34.0;2;34.0;0.0;36.0;2.0;-1.0
24;1.0;35.0;2;35.0;0.0;37.0;2.0;-1.0
25;1.0;36.0;2;36.0;0.0;38.0;2.0;-1.0
26;0.0;36.0;4;37.0;1.0;41.0;5.0;-4.0
27;3.0;39.0;4;39.0;0.0;43.0;4.0;-3.0
28;0.0;39.0;7;41.0;2.0;48.0;9.0;-5.0
29;3.0;42.0;4;42.0;0.0;46.0;4.0;-1.0
30;3.0;45.0;4;45.0;0.0;49.0;4.0;-3.0
31;3.0;48.0;6;48.0;0.0;54.0;6.0;-1.0
32;3.0;51.0;4;51.0;0.0;55.0;4.0;-3.0
33;2.0;53.0;6;53.0;0.0;59.0;6.0;-2.0
34;3.0;56.0;6;56.0;0.0;62.0;6.0;-5.0
35;2.0;58.0;3;58.0;0.0;61.0;3.0;-1.0
36;2.0;60.0;8;60.0;0.0;68.0;8.0;-6.0
37;3.0;63.0;3;63.0;0.0;66.0;3.0;1.0
38;0.0;63.0;6;63.0;0.0;69.0;6.0;-5.0
39;1.0;64.0;2;64.0;0.0;66.0;2.0;-2.0
40;0.0;64.0;4;64.0;0.0;68.0;4.0;-4.0
41;3.0;67.0;7;67.0;0.0;74.0;7.0;-5.0
42;1.0;68.0;6;68.0;0.0;74.0;6.0;-6.0
43;3.0;71.0;1;71.0;0.0;72.0;1.0;2.0
44;2.0;73.0;4;73.0;0.0;77.0;4.0;-1.0
45;3.0;76.0;5;76.0;0.0;81.0;5.0;-1.0
46;1.0;77.0;4;77.0;0.0;81.0;4.0;-4.0
47;3.0;80.0;3;80.0;0.0;83.0;3.0;-1.0
48;3.0;83.0;6;83.0;0.0;89.0;6.0;0.0
49;2.0;85.0;4;85.0;0.0;89.0;4.0;-4.0
50;0.0;85.0;5;85.0;0.0;90.0;5.0;-4.0
51;2.0;87.0;4;87.0;0.0;91.0;4.0;-3.0
52;3.0;90.0;3;90.0;0.0;93.0;3.0;-1.0
53;2.0;92.0;2;92.0;0.0;94.0;2.0;-1.0
54;3.0;95.0;2;95.0;0.0;97.0;2.0;1.0
55;1.0;96.0;6;96.0;0.0;102.0;6.0;-5.0
56;3.0;99.0;2;99.0;0.0;101.0;2.0;2.0
57;1.0;100.0;4;100.0;0.0;104.0;4.0;-2.0
58;1.0;101.0;5;101.0;0.0;106.0;5.0;-3.0
59;1.0;102.0;2;102.0;0.0;104.0;2.0;-2.0
60;2.0;104.0;7;104.0;0.0;111.0;7.0;-4.0
61;0.0;104.0;8;104.0;0.0;112.0;8.0;-7.0
62;3.0;107.0;1;107.0;0.0;108.0;1.0;1.0
63;0.0;107.0;7;107.0;0.0;114.0;7.0;-5.0
64;3.0;110.0;6;110.0;0.0;116.0;6.0;-5.0
65;2.0;112.0;3;112.0;0.0;115.0;3.0;-2.0
66;3.0;115.0;4;115.0;0.0;119.0;4.0;-1.0
67;1.0;116.0;3;116.0;0.0;119.0;3.0;-3.0
68;3.0;119.0;7;119.0;0.0;126.0;7.0;-3.0
69;0.0;119.0;3;119.0;0.0;122.0;3.0;0.0
70;2.0;121.0;7;121.0;0.0;128.0;7.0;-6.0
71;2.0;123.0;5;123.0;0.0;128.0;5.0;-5.0
72;1.0;124.0;7;124.0;0.0;131.0;7.0;-6.0
73;1.0;125.0;2;125.0;0.0;127.0;2.0;-1.0
74;0.0;125.0;3;128.0;3.0;131.0;6.0;-3.0
75;2.0;127.0;3;127.0;0.0;130.0;3.0;-1.0
76;2.0;129.0;3;129.0;0.0;132.0;3.0;-2.0
77;1.0;130.0;8;130.0;0.0;138.0;8.0;-5.0
78;1.0;131.0;2;131.0;0.0;133.0;2.0;-1.0
79;0.0;131.0;2;131.0;0.0;133.0;2.0;-2.0
80;2.0;133.0;2;133.0;0.0;135.0;2.0;-1.0
81;0.0;133.0;1;133.0;0.0;134.0;1.0;0.0
82;0.0;133.0;7;133.0;0.0;140.0;7.0;-5.0
83;2.0;135.0;6;135.0;0.0;141.0;6.0;-5.0
84;3.0;138.0;8;138.0;0.0;146.0;8.0;-6.0
85;2.0;140.0;4;140.0;0.0;144.0;4.0;-1.0
86;1.0;141.0;8;141.0;0.0;149.0;8.0;-7.0
87;1.0;142.0;6;142.0;0.0;148.0;6.0;-4.0
88;3.0;145.0;3;145.0;0.0;148.0;3.0;-3.0
89;1.0;146.0;7;146.0;0.0;153.0;7.0;-6.0
90;1.0;147.0;4;147.0;0.0;151.0;4.0;-2.0
91;3.0;150.0;2;150.0;0.0;152.0;2.0;-1.0
92;3.0;153.0;1;153.0;0.0;154.0;1.0;0.0
93;1.0;154.0;2;154.0;0.0;156.0;2.0;0.0
94;1.0;155.0;3;155.0;0.0;158.0;3.0;-1.0
95;2.0;157.0;4;157.0;0.0;161.0;4.0;-1.0
96;2.0;159.0;4;159.0;0.0;163.0;4.0;-2.0
97;3.0;162.0;3;162.0;0.0;165.0;3.0;-1.0
98;2.0;164.0;6;164.0;0.0;170.0;6.0;-1.0
99;3.0;167.0;4;167.0;0.0;171.0;4.0;-3.0
100;2.0;169.0;8;169.0;0.0;177.0;8.0;-7.0
101;1.0;170.0;4;170.0;0.0;174.0;4.0;-1.0
102;0.0;170.0;1;170.0;0.0;171.0;1.0;-1.0
103;0.0;170.0;8;170.0;0.0;178.0;8.0;-7.0
104;0.0;170.0;2;174.0;4.0;176.0;6.0;-2.0
105;3.0;173.0;3;173.0;0.0;176.0;3.0;-1.0
106;0.0;173.0;4;173.0;0.0;177.0;4.0;-4.0
107;2.0;175.0;4;176.0;1.0;180.0;5.0;-2.0
108;2.0;177.0;7;177.0;0.0;184.0;7.0;-6.0
109;2.0;179.0;5;179.0;0.0;184.0;5.0;-5.0
110;0.0;179.0;4;179.0;0.0;183.0;4.0;-1.0
111;3.0;182.0;8;182.0;0.0;190.0;8.0;-6.0
112;0.0;182.0;2;182.0;0.0;184.0;2.0;-2.0
113;0.0;182.0;7;190.0;8.0;197.0;15.0;-3.0
114;0.0;182.0;4;184.0;2.0;188.0;6.0;-2.0
115;3.0;185.0;7;185.0;0.0;192.0;7.0;-6.0
116;0.0;185.0;3;185.0;0.0;188.0;3.0;-3.0
117;0.0;185.0;1;185.0;0.0;186.0;1.0;1.0
118;1.0;186.0;2;188.0;2.0;190.0;4.0;-2.0
119;1.0;187.0;6;187.0;0.0;193.0;6.0;-5.0
120;0.0;187.0;7;192.0;5.0;199.0;12.0;-6.0
121;2.0;189.0;4;189.0;0.0;193.0;4.0;-4.0
122;1.0;190.0;1;190.0;0.0;191.0;1.0;0.0
123;3.0;193.0;4;193.0;0.0;197.0;4.0;-4.0
124;3.0;196.0;2;196.0;0.0;198.0;2.0;-1.0
125;3.0;199.0;6;199.0;0.0;205.0;6.0;-3.0
126;1.0;200.0;6;200.0;0.0;206.0;6.0;-5.0
127;0.0;200.0;2;200.0;0.0;202.0;2.0;1.0
128;3.0;203.0;2;203.0;0.0;205.0;2.0;-2.0
129;3.0;206.0;4;206.0;0.0;210.0;4.0;0.0
130;2.0;208.0;2;208.0;0.0;210.0;2.0;-2.0
131;2.0;210.0;7;210.0;0.0;217.0;7.0;-5.0
132;1.0;211.0;4;211.0;0.0;215.0;4.0;1.0
133;1.0;212.0;6;212.0;0.0;218.0;6.0;-5.0
134;3.0;215.0;2;215.0;0.0;217.0;2.0;-2.0
135;1.0;216.0;2;216.0;0.0;218.0;2.0;-2.0
136;0.0;216.0;3;216.0;0.0;219.0;3.0;-2.0
137;2.0;218.0;2;218.0;0.0;220.0;2.0;-1.0
138;3.0;221.0;3;221.0;0.0;224.0;3.0;1.0
139;3.0;224.0;5;224.0;0.0;229.0;5.0;-4.0
140;1.0;225.0;3;225.0;0.0;228.0;3.0;1.0
141;1.0;226.0;2;226.0;0.0;228.0;2.0;-2.0
142;2.0;228.0;2;228.0;0.0;230.0;2.0;-1.0
143;0.0;228.0;6;228.0;0.0;234.0;6.0;-2.0
