Id;Interarrival Time;Arrival Time;Service Time;Time Service Begins;Waiting time in Queue;Time Service Ends;Time Customer Spends in System;Idle time of Server
0;0;0.0;6;0.0;0.0;6.0;6.0;0.0
1;3.0;3.0;8;3.0;0.0;11.0;8.0;-3.0
2;3.0;6.0;8;6.0;0.0;14.0;8.0;-7.0
3;1.0;7.0;8;7.0;0.0;15.0;8.0;-7.0
4;2.0;9.0;2;9.0;0.0;11.0;2.0;-2.0
5;1.0;10.0;2;11.0;1.0;13.0;3.0;0.0
6;0.0;10.0;7;11.0;1.0;18.0;8.0;-6.0
7;0.0;10.0;4;13.0;3.0;17.0;7.0;-3.0
8;0.0;10.0;2;14.0;4.0;16.0;6.0;-1.0
9;3.0;13.0;6;15.0;2.0;21.0;8.0;-4.0
10;1.0;14.0;2;16.0;2.0;18.0;4.0;-2.0
11;1.0;15.0;2;17.0;2.0;19.0;4.0;-1.0
12;3.0;18.0;6;18.0;0.0;24.0;6.0;-3.0
13;0.0;18.0;8;18.0;0.0;26.0;8.0;-6.0
14;3.0;21.0;7;21.0;0.0;28.0;7.0;-5.0
15;2.0;23.0;6;23.0;0.0;29.0;6.0;-5.0
16;2.0;25.0;4;25.0;0.0;29.0;4.0;-4.0
17;1.0;26.0;3;26.0;0.0;29.0;3.0;-3.0
18;0.0;26.0;4;28.0;2.0;32.0;6.0;-1.0
19;3.0;29.0;3;29.0;0.0;32.0;3.0;-3.0
20;2.0;31.0;8;31.0;0.0;39.0;8.0;-7.0
21;1.0;32.0;8;32.0;0.0;40.0;8.0;-7.0
22;0.0;32.0;2;32.0;0.0;34.0;2.0;0.0
23;1.0;33.0;4;33.0;0.0;37.0;4.0;-1.0
24;0.0;33.0;4;34.0;1.0;38.0;5.0;-3.0
25;1.0;34.0;4;37.0;3.0;41.0;7.0;-3.0
26;0.0;34.0;6;38.0;4.0;44.0;10.0;-3.0
27;3.0;37.0;7;39.0;2.0;46.0;9.0;-6.0
28;0.0;37.0;4;40.0;3.0;44.0;7.0;-4.0
29;0.0;37.0;4;41.0;4.0;45.0;8.0;-3.0
30;3.0;40.0;7;44.0;4.0;51.0;11.0;-6.0
31;3.0;43.0;4;44.0;1.0;48.0;5.0;-2.0
32;0.0;43.0;6;45.0;2.0;51.0;8.0;-6.0
33;3.0;46.0;4;46.0;0.0;50.0;4.0;-2.0
34;2.0;48.0;2;48.0;0.0;50.0;2.0;-2.0
35;1.0;49.0;6;50.0;1.0;56.0;7.0;-5.0
36;3.0;52.0;6;52.0;0.0;58.0;6.0;-5.0
37;0.0;52.0;2;52.0;0.0;54.0;2.0;1.0
38;0.0;52.0;3;52.0;0.0;55.0;3.0;-2.0
39;0.0;52.0;2;54.0;2.0;56.0;4.0;-2.0
40;1.0;53.0;8;55.0;2.0;63.0;10.0;-3.0
41;0.0;53.0;7;56.0;3.0;63.0;10.0;-7.0
42;3.0;56.0;1;56.0;0.0;57.0;1.0;0.0
43;1.0;57.0;7;57.0;0.0;64.0;7.0;-6.0
44;3.0;60.0;4;60.0;0.0;64.0;4.0;-4.0
45;2.0;62.0;4;63.0;1.0;67.0;5.0;-1.0
46;3.0;65.0;4;65.0;0.0;69.0;4.0;-2.0
47;3.0;68.0;2;68.0;0.0;70.0;2.0;-1.0
48;1.0;69.0;6;69.0;0.0;75.0;6.0;-1.0
49;2.0;71.0;4;71.0;0.0;75.0;4.0;-4.0
50;0.0;71.0;5;71.0;0.0;76.0;5.0;-4.0
51;2.0;73.0;4;73.0;0.0;77.0;4.0;-3.0
52;3.0;76.0;3;76.0;0.0;79.0;3.0;-1.0
53;2.0;78.0;2;78.0;0.0;80.0;2.0;-1.0
54;3.0;81.0;2;81.0;0.0;83.0;2.0;1.0
55;1.0;82.0;6;82.0;0.0;88.0;6.0;-5.0
56;3.0;85.0;2;85.0;0.0;87.0;2.0;2.0
57;1.0;86.0;4;86.0;0.0;90.0;4.0;-2.0
58;1.0;87.0;5;87.0;0.0;92.0;5.0;-3.0
59;1.0;88.0;2;88.0;0.0;90.0;2.0;-2.0
60;2.0;90.0;7;90.0;0.0;97.0;7.0;-4.0
61;0.0;90.0;8;90.0;0.0;98.0;8.0;-7.0
62;3.0;93.0;1;93.0;0.0;94.0;1.0;1.0
63;0.0;93.0;7;93.0;0.0;100.0;7.0;-5.0
64;3.0;96.0;6;96.0;0.0;102.0;6.0;-5.0
65;2.0;98.0;3;98.0;0.0;101.0;3.0;-2.0
66;3.0;101.0;4;101.0;0.0;105.0;4.0;-1.0
67;1.0;102.0;3;102.0;0.0;105.0;3.0;-3.0
68;3.0;105.0;7;105.0;0.0;112.0;7.0;-3.0
69;0.0;105.0;3;105.0;0.0;108.0;3.0;0.0
70;2.0;107.0;7;107.0;0.0;114.0;7.0;-5.0
71;2.0;109.0;5;109.0;0.0;114.0;5.0;-5.0
72;1.0;110.0;7;110.0;0.0;117.0;7.0;-5.0
73;1.0;111.0;3;112.0;1.0;115.0;4.0;-2.0
74;0.0;111.0;3;114.0;3.0;117.0;6.0;-3.0
75;2.0;113.0;7;114.0;1.0;121.0;8.0;-4.0
76;2.0;115.0;3;115.0;0.0;118.0;3.0;-2.0
77;1.0;116.0;8;117.0;1.0;125.0;9.0;-6.0
78;3.0;119.0;2;119.0;0.0;121.0;2.0;-2.0
79;0.0;119.0;2;119.0;0.0;121.0;2.0;-2.0
80;2.0;121.0;2;121.0;0.0;123.0;2.0;-1.0
81;0.0;121.0;1;121.0;0.0;122.0;1.0;0.0
82;0.0;121.0;7;121.0;0.0;128.0;7.0;-4.0
83;2.0;123.0;6;123.0;0.0;129.0;6.0;-5.0
84;3.0;126.0;8;126.0;0.0;134.0;8.0;-6.0
85;2.0;128.0;4;128.0;0.0;132.0;4.0;-1.0
86;1.0;129.0;8;129.0;0.0;137.0;8.0;-7.0
87;1.0;130.0;6;130.0;0.0;136.0;6.0;-4.0
88;3.0;133.0;3;133.0;0.0;136.0;3.0;-3.0
89;1.0;134.0;7;134.0;0.0;141.0;7.0;-6.0
90;1.0;135.0;4;136.0;1.0;140.0;5.0;-1.0
91;3.0;138.0;2;138.0;0.0;140.0;2.0;-2.0
92;3.0;141.0;1;141.0;0.0;142.0;1.0;0.0
93;1.0;142.0;2;142.0;0.0;144.0;2.0;0.0
94;1.0;143.0;3;143.0;0.0;146.0;3.0;-1.0
95;2.0;145.0;4;145.0;0.0;149.0;4.0;-1.0
96;2.0;147.0;4;147.0;0.0;151.0;4.0;-2.0
97;3.0;150.0;3;150.0;0.0;153.0;3.0;-1.0
98;2.0;152.0;6;152.0;0.0;158.0;6.0;-1.0
99;3.0;155.0;4;155.0;0.0;159.0;4.0;-3.0
100;2.0;157.0;8;157.0;0.0;165.0;8.0;-7.0
101;1.0;158.0;4;158.0;0.0;162.0;4.0;-1.0
102;0.0;158.0;1;158.0;0.0;159.0;1.0;-1.0
103;0.0;158.0;6;159.0;1.0;165.0;7.0;-6.0
104;0.0;158.0;4;159.0;1.0;163.0;5.0;-3.0
105;3.0;161.0;2;162.0;1.0;164.0;3.0;-1.0
106;0.0;161.0;2;163.0;2.0;165.0;4.0;-2.0
107;2.0;163.0;4;164.0;1.0;168.0;5.0;-1.0
108;2.0;165.0;5;165.0;0.0;170.0;5.0;-4.0
109;0.0;165.0;5;165.0;0.0;170.0;5.0;-5.0
110;0.0;165.0;4;165.0;0.0;169.0;4.0;-3.0
111;3.0;168.0;8;168.0;0.0;176.0;8.0;-7.0
112;0.0;168.0;8;169.0;1.0;177.0;9.0;-7.0
113;0.0;168.0;4;170.0;2.0;174.0;6.0;-1.0
114;0.0;168.0;1;170.0;2.0;171.0;3.0;0.0
115;3.0;171.0;7;171.0;0.0;178.0;7.0;-6.0
116;3.0;174.0;1;174.0;0.0;175.0;1.0;0.0
117;1.0;175.0;2;175.0;0.0;177.0;2.0;-2.0
118;1.0;176.0;8;176.0;0.0;184.0;8.0;-7.0
119;2.0;178.0;7;178.0;0.0;185.0;7.0;-6.0
120;2.0;180.0;6;180.0;0.0;186.0;6.0;-5.0
121;2.0;182.0;1;182.0;0.0;183.0;1.0;4.0
122;3.0;185.0;7;185.0;0.0;192.0;7.0;-6.0
123;0.0;185.0;4;185.0;0.0;189.0;4.0;-1.0
124;3.0;188.0;3;188.0;0.0;191.0;3.0;-1.0
125;1.0;189.0;8;189.0;0.0;197.0;8.0;-6.0
126;1.0;190.0;3;190.0;0.0;193.0;3.0;-2.0
127;3.0;193.0;2;193.0;0.0;195.0;2.0;0.0
128;3.0;196.0;6;196.0;0.0;202.0;6.0;-5.0
129;1.0;197.0;2;197.0;0.0;199.0;2.0;0.0
130;0.0;197.0;4;197.0;0.0;201.0;4.0;-2.0
131;2.0;199.0;8;199.0;0.0;207.0;8.0;-7.0
132;3.0;202.0;4;202.0;0.0;206.0;4.0;0.0
133;1.0;203.0;6;203.0;0.0;209.0;6.0;-5.0
134;3.0;206.0;2;206.0;0.0;208.0;2.0;-1.0
135;1.0;207.0;3;207.0;0.0;210.0;3.0;-2.0
136;2.0;209.0;2;209.0;0.0;211.0;2.0;-1.0
137;1.0;210.0;2;210.0;0.0;212.0;2.0;-1.0
138;3.0;213.0;3;213.0;0.0;216.0;3.0;1.0
139;3.0;216.0;5;216.0;0.0;221.0;5.0;-4.0
140;1.0;217.0;3;217.0;0.0;220.0;3.0;1.0
141;1.0;218.0;2;218.0;0.0;220.0;2.0;-2.0
142;2.0;220.0;2;220.0;0.0;222.0;2.0;-1.0
143;0.0;220.0;6;220.0;0.0;226.0;6.0;-2.0
