Id;Interarrival Time;Arrival Time;Service Time;Time Service Begins;Waiting time in Queue;Time Service Ends;Time Customer Spends in System;Idle time of Server
0;0;0.0;6;0.0;0.0;6.0;6.0;0.0
1;3.0;3.0;8;3.0;0.0;11.0;8.0;-3.0
2;3.0;6.0;8;6.0;0.0;14.0;8.0;-7.0
3;1.0;7.0;8;7.0;0.0;15.0;8.0;-7.0
4;2.0;9.0;2;9.0;0.0;11.0;2.0;-2.0
5;1.0;10.0;2;14.0;4.0;16.0;6.0;-1.0
6;0.0;10.0;2;11.0;1.0;13.0;3.0;0.0
7;0.0;10.0;6;15.0;5.0;21.0;11.0;-4.0
8;0.0;10.0;7;11.0;1.0;18.0;8.0;-6.0
9;3.0;13.0;4;13.0;0.0;17.0;4.0;-3.0
10;1.0;14.0;2;16.0;2.0;18.0;4.0;-2.0
11;1.0;15.0;2;17.0;2.0;19.0;4.0;-1.0
12;3.0;18.0;6;18.0;0.0;24.0;6.0;-3.0
13;0.0;18.0;8;18.0;0.0;26.0;8.0;-6.0
14;3.0;21.0;7;21.0;0.0;28.0;7.0;-5.0
15;2.0;23.0;6;23.0;0.0;29.0;6.0;-5.0
16;2.0;25.0;4;25.0;0.0;29.0;4.0;-4.0
17;1.0;26.0;3;26.0;0.0;29.0;3.0;-3.0
18;0.0;26.0;4;29.0;3.0;33.0;7.0;-3.0
19;3.0;29.0;3;29.0;0.0;32.0;3.0;0.0
20;2.0;31.0;8;31.0;0.0;39.0;8.0;-6.0
21;1.0;32.0;8;32.0;0.0;40.0;8.0;-7.0
22;0.0;32.0;8;32.0;0.0;40.0;8.0;-8.0
23;0.0;32.0;4;33.0;1.0;37.0;5.0;0.0
24;1.0;33.0;4;37.0;4.0;41.0;8.0;-3.0
25;1.0;34.0;7;40.0;6.0;47.0;13.0;-5.0
26;0.0;34.0;6;39.0;5.0;45.0;11.0;-5.0
27;0.0;34.0;4;40.0;6.0;44.0;10.0;-1.0
28;3.0;37.0;4;41.0;4.0;45.0;8.0;-4.0
29;0.0;37.0;6;45.0;8.0;51.0;14.0;-6.0
30;0.0;37.0;4;47.0;10.0;51.0;14.0;-4.0
31;3.0;40.0;4;45.0;5.0;49.0;9.0;-2.0
32;3.0;43.0;7;44.0;1.0;51.0;8.0;-5.0
33;0.0;43.0;3;51.0;8.0;54.0;11.0;0.0
34;3.0;46.0;2;49.0;3.0;51.0;5.0;-2.0
35;1.0;47.0;8;51.0;4.0;59.0;12.0;-7.0
36;3.0;50.0;8;51.0;1.0;59.0;9.0;-8.0
37;3.0;53.0;6;53.0;0.0;59.0;6.0;-6.0
38;0.0;53.0;2;54.0;1.0;56.0;3.0;0.0
39;0.0;53.0;4;59.0;6.0;63.0;10.0;-1.0
40;0.0;53.0;1;59.0;6.0;60.0;7.0;0.0
41;1.0;54.0;2;56.0;2.0;58.0;4.0;0.0
42;3.0;57.0;7;58.0;1.0;65.0;8.0;-5.0
43;3.0;60.0;7;60.0;0.0;67.0;7.0;-5.0
44;3.0;63.0;4;63.0;0.0;67.0;4.0;-4.0
45;3.0;66.0;6;66.0;0.0;72.0;6.0;-5.0
46;1.0;67.0;4;67.0;0.0;71.0;4.0;0.0
47;3.0;70.0;3;70.0;0.0;73.0;3.0;-2.0
48;3.0;73.0;6;73.0;0.0;79.0;6.0;0.0
49;2.0;75.0;4;75.0;0.0;79.0;4.0;-4.0
50;0.0;75.0;5;75.0;0.0;80.0;5.0;-4.0
51;2.0;77.0;4;77.0;0.0;81.0;4.0;-3.0
52;3.0;80.0;3;80.0;0.0;83.0;3.0;-1.0
53;2.0;82.0;2;82.0;0.0;84.0;2.0;-1.0
54;3.0;85.0;2;85.0;0.0;87.0;2.0;1.0
55;1.0;86.0;6;86.0;0.0;92.0;6.0;-5.0
56;3.0;89.0;2;89.0;0.0;91.0;2.0;2.0
57;1.0;90.0;4;90.0;0.0;94.0;4.0;-2.0
58;1.0;91.0;5;91.0;0.0;96.0;5.0;-3.0
59;1.0;92.0;2;92.0;0.0;94.0;2.0;-2.0
60;2.0;94.0;7;94.0;0.0;101.0;7.0;-4.0
61;0.0;94.0;8;94.0;0.0;102.0;8.0;-7.0
62;3.0;97.0;1;97.0;0.0;98.0;1.0;1.0
63;0.0;97.0;7;97.0;0.0;104.0;7.0;-5.0
64;3.0;100.0;6;100.0;0.0;106.0;6.0;-5.0
65;2.0;102.0;3;102.0;0.0;105.0;3.0;-2.0
66;3.0;105.0;4;105.0;0.0;109.0;4.0;-1.0
67;1.0;106.0;3;106.0;0.0;109.0;3.0;-3.0
68;3.0;109.0;7;109.0;0.0;116.0;7.0;-3.0
69;0.0;109.0;3;109.0;0.0;112.0;3.0;0.0
70;2.0;111.0;7;111.0;0.0;118.0;7.0;-5.0
71;2.0;113.0;5;113.0;0.0;118.0;5.0;-5.0
72;1.0;114.0;7;114.0;0.0;121.0;7.0;-5.0
73;1.0;115.0;7;118.0;3.0;125.0;10.0;-4.0
74;0.0;115.0;3;116.0;1.0;119.0;4.0;-2.0
75;2.0;117.0;3;119.0;2.0;122.0;5.0;-2.0
76;2.0;119.0;3;119.0;0.0;122.0;3.0;-3.0
77;1.0;120.0;8;125.0;5.0;133.0;13.0;-7.0
78;3.0;123.0;2;123.0;0.0;125.0;2.0;-2.0
79;0.0;123.0;2;123.0;0.0;125.0;2.0;-2.0
80;2.0;125.0;2;125.0;0.0;127.0;2.0;-1.0
81;0.0;125.0;1;125.0;0.0;126.0;1.0;0.0
82;0.0;125.0;7;125.0;0.0;132.0;7.0;-2.0
83;2.0;127.0;6;127.0;0.0;133.0;6.0;-6.0
84;3.0;130.0;6;130.0;0.0;136.0;6.0;-3.0
85;3.0;133.0;5;133.0;0.0;138.0;5.0;-3.0
86;0.0;133.0;8;133.0;0.0;141.0;8.0;-7.0
87;1.0;134.0;6;134.0;0.0;140.0;6.0;-4.0
88;3.0;137.0;3;137.0;0.0;140.0;3.0;-3.0
89;1.0;138.0;7;138.0;0.0;145.0;7.0;-6.0
90;1.0;139.0;6;145.0;6.0;151.0;12.0;-5.0
91;3.0;142.0;2;142.0;0.0;144.0;2.0;1.0
92;3.0;145.0;8;145.0;0.0;153.0;8.0;-7.0
93;2.0;147.0;1;147.0;0.0;148.0;1.0;2.0
94;1.0;148.0;2;148.0;0.0;150.0;2.0;0.0
95;1.0;149.0;3;149.0;0.0;152.0;3.0;-2.0
96;2.0;151.0;4;151.0;0.0;155.0;4.0;-2.0
97;1.0;152.0;4;152.0;0.0;156.0;4.0;-3.0
98;3.0;155.0;6;155.0;0.0;161.0;6.0;-1.0
99;3.0;158.0;4;158.0;0.0;162.0;4.0;-3.0
100;2.0;160.0;8;160.0;0.0;168.0;8.0;-7.0
101;1.0;161.0;4;161.0;0.0;165.0;4.0;-1.0
102;0.0;161.0;1;161.0;0.0;162.0;1.0;-1.0
103;0.0;161.0;2;165.0;4.0;167.0;6.0;-2.0
104;0.0;161.0;6;162.0;1.0;168.0;7.0;-6.0
105;3.0;164.0;3;164.0;0.0;167.0;3.0;-1.0
106;0.0;164.0;1;168.0;4.0;169.0;5.0;0.0
107;2.0;166.0;4;167.0;1.0;171.0;5.0;-2.0
108;2.0;168.0;7;168.0;0.0;175.0;7.0;-6.0
109;2.0;170.0;5;170.0;0.0;175.0;5.0;-5.0
110;0.0;170.0;4;170.0;0.0;174.0;4.0;-1.0
111;3.0;173.0;8;173.0;0.0;181.0;8.0;-7.0
112;0.0;173.0;8;181.0;8.0;189.0;16.0;-7.0
113;0.0;173.0;1;175.0;2.0;176.0;3.0;0.0
114;0.0;173.0;4;175.0;2.0;179.0;6.0;-1.0
115;3.0;176.0;4;176.0;0.0;180.0;4.0;-3.0
116;3.0;179.0;1;179.0;0.0;180.0;1.0;-1.0
117;1.0;180.0;2;180.0;0.0;182.0;2.0;-1.0
118;3.0;183.0;1;183.0;0.0;184.0;1.0;1.0
119;1.0;184.0;4;184.0;0.0;188.0;4.0;0.0
120;1.0;185.0;6;185.0;0.0;191.0;6.0;-4.0
121;2.0;187.0;1;187.0;0.0;188.0;1.0;-1.0
122;3.0;190.0;7;190.0;0.0;197.0;7.0;-6.0
123;0.0;190.0;4;190.0;0.0;194.0;4.0;-1.0
124;3.0;193.0;3;193.0;0.0;196.0;3.0;-1.0
125;1.0;194.0;8;194.0;0.0;202.0;8.0;-6.0
126;1.0;195.0;3;195.0;0.0;198.0;3.0;-2.0
127;3.0;198.0;2;198.0;0.0;200.0;2.0;0.0
128;3.0;201.0;6;201.0;0.0;207.0;6.0;-5.0
129;1.0;202.0;2;202.0;0.0;204.0;2.0;0.0
130;0.0;202.0;4;202.0;0.0;206.0;4.0;-2.0
131;2.0;204.0;8;204.0;0.0;212.0;8.0;-7.0
132;3.0;207.0;4;207.0;0.0;211.0;4.0;0.0
133;1.0;208.0;6;208.0;0.0;214.0;6.0;-5.0
134;3.0;211.0;2;211.0;0.0;213.0;2.0;-1.0
135;1.0;212.0;3;212.0;0.0;215.0;3.0;-2.0
136;2.0;214.0;2;214.0;0.0;216.0;2.0;-1.0
137;1.0;215.0;2;215.0;0.0;217.0;2.0;-1.0
138;3.0;218.0;3;218.0;0.0;221.0;3.0;1.0
139;3.0;221.0;5;221.0;0.0;226.0;5.0;-4.0
140;1.0;222.0;3;222.0;0.0;225.0;3.0;1.0
141;1.0;223.0;2;223.0;0.0;225.0;2.0;-2.0
142;2.0;225.0;2;225.0;0.0;227.0;2.0;-1.0
143;0.0;225.0;6;225.0;0.0;231.0;6.0;-2.0
